address_label,address_city
"التبين, مصر",القاهرة
"حلوان, مصر",القاهرة
"المعصرة البلد, حلوان, مصر",القاهرة
"المعصرة المحطة, حلوان, مصر",القاهرة
"15 مايو, مصر",القاهرة
"طرة, مصر",القاهرة
"المعادى, مصر",القاهرة
"البساتين, القاهرة, مصر",القاهرة
"دار السلام, ميدان الازهر, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع الفيومي, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع الجامع, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع الشركة العامة لاستصلاح الاراضي, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع جابر, إمبابة, الجيزة, مصر",القاهرة
"دار السلام, شارع حسن المغربي, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع أبو طيرة, العمرانية, الجيزة, مصر",القاهرة
"شارع دار السلام, القاهرة, القاهرة, مصر",القاهرة
"محطة دار السلام, شارع احمد خيري, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع الملك فيصل, بولاق الدكرور, الجيزة, مصر",القاهرة
"دار السلام, شارع ابراهيم عنانى, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع راتب, شبرا الخيمة قسم 2, القليوبية, مصر",القاهرة
"مدرسة دار السلام, حارة محمد خطيب, القاهرة, القاهرة, مصر",القاهرة
"دار السلام, شارع حسن علام, شبرا الخيمة قسم 2, القليوبية, مصر",القاهرة
"اسلام, شارع العراق, العجوزة, الجيزة, مصر",القاهرة
"مصر القديمة, القاهرة, مصر",القاهرة
"السيدة زينب, القاهرة, مصر",القاهرة
"الخليفة, القاهرة, مصر",القاهرة
"المقطم, شارع سيد البيلاوي, القاهرة, القاهرة, مصر",القاهرة
"المقطم, شارع ميهوب, القاهرة, القاهرة, مصر",القاهرة
"المقطم, شارع 9, القاهرة, القاهرة, مصر",القاهرة
"منشأة ناصر, القاهرة, مصر",القاهرة
"منشأة ناصر, حلوان, مصر",القاهرة
"الدرب الاحمر, القاهرة, مصر",القاهرة
"الموسكي, القاهرة, مصر",القاهرة
"عابدين, القاهرة, مصر",القاهرة
"قصر النيل, القاهرة, مصر",القاهرة
"الزمالك, القاهرة, مصر",القاهرة
"بولاق, القاهرة, مصر",القاهرة
"الازبكية, القاهرة, مصر",القاهرة
"باب الشعرية, القاهرة, مصر",القاهرة
"مأمورية ضرائب باب الشعرية, شارع عماد الدين, القاهرة, القاهرة, مصر",القاهرة
"الجمالية, القاهرة, مصر",القاهرة
"الظاهر, القاهرة, مصر",القاهرة
"الوايلى, القاهرة, مصر",القاهرة
"حدائق القبه, القاهرة, مصر",القاهرة
"الشرابية, القاهرة, مصر",القاهرة
"شبرا, القاهرة, مصر",القاهرة
"روض الفرج, القاهرة, مصر",القاهرة
"الساحل, القاهرة, مصر",القاهرة
"الزاوية الحمراء, القاهرة, مصر",القاهرة
"الاميرية, شارع منصور, القاهرة, القاهرة, مصر",القاهرة
"المطابع الاميرية, شارع عبد الخالق ثروت, القاهرة, القاهرة, مصر",القاهرة
"الاميرة, القاهرة, القاهرة, مصر",القاهرة
"الزيتون, القاهرة, مصر",القاهرة
"المطرية, القاهرة, مصر",القاهرة
"عين شمس, القاهرة, مصر",القاهرة
"المرج, القاهرة, مصر",القاهرة
"المرج, البقاع, لبنان",القاهرة
"محطة المرج الجديدة, شارع محطة المرج, القاهرة, القاهرة, مصر",القاهرة
"المرج, ليبيا",القاهرة
"البرج, شارع عبد المنعم رياض, العجوزة, الجيزة, مصر",القاهرة
"محطة المرج, شارع محطة المرج, القاهرة, القاهرة, مصر",القاهرة
"مدرسة المرج الخاصة, شارع الزعيم الهندي غاندي, القاهرة, القاهرة, مصر",القاهرة
"فندق نوفوتيل برج القاهرة, شارع الجزيرة, القاهرة, القاهرة, مصر",القاهرة
"شارع محطة المرج, القاهرة, القاهرة, مصر",القاهرة
"السلام, شارع محمد زاهر, الجيزة, الجيزة, مصر",القاهرة
"السلام, شارع خوفو, الجيزة, الجيزة, مصر",القاهرة
"السلام, شارع الاهرام, العمرانية, الجيزة, مصر",القاهرة
"السلام, شارع رشدي باشا, القاهرة, القاهرة, مصر",القاهرة
"اسلام, شارع الفاتح, الجيزة, الجيزة, مصر",القاهرة
"السلام, حارة جامع عزبان, القاهرة, القاهرة, مصر",القاهرة
"السلام, شارع رشدي باشا, القاهرة, القاهرة, مصر",القاهرة
"السلام, حارة جامع عزبان, القاهرة, القاهرة, مصر",القاهرة
"السلام, القاهرة, مصر",القاهرة
"السلام, شارع سيف الدين مهراني, القاهرة, القاهرة, مصر",القاهرة
"شارع عبد السلام محرم & شارع الشيخ محمد بن حمد آل ثان, بولاق الدكرور, الجيزة, مصر",القاهرة
"السلام, شارع الظاهر, القاهرة, القاهرة, مصر",القاهرة
"النزهة, القاهرة, مصر",القاهرة
"مصر الجديدة, القاهرة, مصر",القاهرة
"سنترال أول مدينة نصر, شارع الطيران, القاهرة, القاهرة, مصر",القاهرة
"مدينة نصر, طريق النصر, القاهرة, القاهرة, مصر",القاهرة
"قسم مدينة نصر ثان, شارع محمود طه, القاهرة, القاهرة, مصر",القاهرة
"قسم الشرطة ثانى مدينة نصر, شارع علي امين, القاهرة, القاهرة, مصر",القاهرة
"مدينة نصر, طريق النصر, القاهرة, القاهرة, مصر",القاهرة
"البريد المصري-التجمع الخامس, شارع طه حسين 17, القاهرة الجديدة, القاهرة, مصر",القاهرة
"التجمع الخامس, القاهرة الجديدة, القاهرة, مصر",القاهرة
"القاهرة الجديدة, مصر",القاهرة
"مستشفى التجمع الأول, محور مصطفى كامل, القاهرة الجديدة, القاهرة, مصر",القاهرة
"القاهرة الجديدة, مصر",القاهرة
"دوسيت تانى ليك فيو-القاهرة, محور مبارك, القاهرة الجديدة, القاهرة, مصر",القاهرة
"نادي الصيد الرياضي فرع القطامية, القاهرة, القاهرة, مصر",القاهرة
"القطامية داون تاون مول, شارع التسعين الجنوبي, القاهرة الجديدة, القاهرة, مصر",القاهرة
"القاهرة الجديدة, مصر",القاهرة
"الشروق, القاهرة الجديدة, مصر",القاهرة
"بدر, شارع الانشراح الصغير, العجوزة, الجيزة, مصر",القاهرة
"جهاز مدينة بدر, شارع ابن سينا, بدر, القاهرة, مصر",القاهرة
"بدر, حارة السيد علي, القاهرة, القاهرة, مصر",القاهرة
"الاسكندرية, مصر",اخري
"الإبراهيمية, مركز الابراهيمية, مصر",اخري
"مركز الابراهيمية, مصر",اخري
"البيطاش, شارع رجب الطيار, الاسكندرية, الاسكندرية, مصر",اخري
"البيطاش, شارع البيطاش, الاسكندرية, الاسكندرية, مصر",اخري
"شارع البيطاش, الاسكندرية, الاسكندرية, مصر",اخري
"الحضرة, تمبدغة, موريتانيا",اخري
"الحضارة الجديدة, شارع السادات, الاسكندرية, الاسكندرية, مصر",اخري
"الدخيلة, الاسكندرية, مصر",اخري
"الشاطبي, شارع التحرير, الاسكندرية, الاسكندرية, مصر",اخري
"الشاطبي, شارع كاريستوفان, الاسكندرية, الاسكندرية, مصر",اخري
"الشاطبي, شارع ابن رجب, الاسكندرية, الاسكندرية, مصر",اخري
"الشاطبي, شارع 11, الاسكندرية, الاسكندرية, مصر",اخري
"الظاهرية, التل الكبير, مصر",اخري
"العصافرة, شارع صديقات الكتاب المقدس, الاسكندرية, الاسكندرية, مصر",اخري
"العطارين, الاسكندرية, مصر",اخري
"العوايد, طريق عزبة البحر, الاسكندرية, الاسكندرية, مصر",اخري
"العوايد, بئر علي بن خليفة, تونس",اخري
"شارع محمد عبد الباري, مركز قليوب, القليوبية, مصر",اخري
"كوبري الكيلو 21, الاسكندرية, الاسكندرية, مصر",اخري
"درينكيز الكيلو 21, طريق الإسكندرية مرسي مطروح, الاسكندرية, الاسكندرية, مصر",اخري
"طريق مساكن الكيلو 21, الاسكندرية, الاسكندرية, مصر",اخري
"الكيلو9, ابو رديس, مصر",اخري
"المعمورة, شارع الفيوم, العمرانية, الجيزة, مصر",اخري
"المعمورة, شارع الملك فيصل, العمرانية, الجيزة, مصر",اخري
"المعمورة, الدوحة, قطر",اخري
"المعمورة, شارع ابو قير, الاسكندرية, الاسكندرية, مصر",اخري
"المعمورة, المضيبي, عمان",اخري
"المنتزة, الاسكندرية, مصر",اخري
"المنشية, الاسكندرية, مصر",اخري
"المنشية, مركز كوم حمادة, مصر",اخري
"الهانوفيل, شارع بنك مصر, الاسكندرية, الاسكندرية, مصر",اخري
"الهانوفيل, شارع الهانوفيل, الاسكندرية, الاسكندرية, مصر",اخري
"محافظة الإسكندرية حي العامرية قطاع الهانوفيل, شارع المساكن, الاسكندرية, الاسكندرية, مصر",اخري
"باسوس, مركز القناطر الخيريه, مصر",اخري
"بحري, العمرانية, الجيزة, مصر",اخري
"بحري, شارع عثمان محرم, العمرانية, الجيزة, مصر",اخري
"بحري, شارع عبد الفتاح أبوعميرة, كرداسة, الجيزة, مصر",اخري
"بشاير الخير, شارع بور سعيد, مركز الشهداء, المنوفية, مصر",اخري
"بشاير الخير, شارع سكة الرحمه, مدينة منوف, المنوفية, مصر",اخري
"بشاير الخير, شارع المهدي, مدينة شبين الكوم, المنوفية, مصر",اخري
"بشاير الخير, شارع المحطة القديم, مدينة منوف, المنوفية, مصر",اخري
"بشاير الخير, مركز قويسنا, المنوفية, مصر",اخري
"بشاير الخير, شارع الكورنيش, مدينة شبين الكوم, المنوفية, مصر",اخري
"بشاير الخير, مدينة سرس الليان, المنوفية, مصر",اخري
"بولكلى للسياحه, شارع ابو قير, الاسكندرية, الاسكندرية, مصر",اخري
"مركز بولكلى, شارع ابو قير, الاسكندرية, الاسكندرية, مصر",اخري
"جليم, شارع زهران رشدى, الاسكندرية, الاسكندرية, مصر",اخري
"جناكليس, شارع ابو قير, الاسكندرية, الاسكندرية, مصر",اخري
"العامرية, الأردن",اخري
"المنتزة, الاسكندرية, مصر",اخري
"الجمرك, الاسكندرية, مصر",اخري
"العامرية, الأردن",اخري
"المنتزة, الاسكندرية, مصر",اخري
"حي شرق المنصوره, شارع سعد زغلول, المنصورة, الدقهلية, مصر",اخري
"رأس العين, عمان, الأردن",اخري
"زيزينيا, شارع الطريق الابيض, كرداسة, الجيزة, مصر",اخري
"زيزينيا, شارع الملك فيصل, العمرانية, الجيزة, مصر",اخري
"زيزينيا, شارع التحرير, قليوب, القليوبية, مصر",اخري
"زيزينيا, شارع أبو النبايل, مدينة شبين الكوم, المنوفية, مصر",اخري
"زيزينيا, شارع مبارك, مركز الزقازيق, الشرقية, مصر",اخري
"زيزينيا, شارع القرافة, مركز الشهداء, المنوفية, مصر",اخري
"سان ستيفانو, شارع عبد السلام عارف, الاسكندرية, الاسكندرية, مصر",اخري
"سان ستيفانو, شارع البطل الروماني, الاسكندرية, الاسكندرية, مصر",اخري
"كوبري ستانلي, كوبري ستانلي, الاسكندرية, الاسكندرية, مصر",اخري
"سموحة, طريق ترعة الحاجر, الصف, الجيزة, مصر",اخري
"سموحة, شارع توت عنخ امون, الاسكندرية, الاسكندرية, مصر",اخري
"سموحة, شارع عبد الرحمن عودة, الاسكندرية, الاسكندرية, مصر",اخري
"اكاديمية سموحة, شارع باب السلام, مركز الزقازيق, الشرقية, مصر",اخري
"اكاديمية سموحة, 54 شارع سعيد, طنطا, الغربية, مصر",اخري
"اكاديمية سموحة, شارع عبد المنعم رياض, بورسعيد, بورسعيد, مصر",اخري
"سيدى بشر, شارع ملك حفني, الاسكندرية, الاسكندرية, مصر",اخري
"سيدى بشر, شارع القاهرة, الاسكندرية, الاسكندرية, مصر",اخري
"سيدى جابر, الاسكندرية, مصر",اخري
"سيدى كرير للبتروكيماويات - سيدبك, الاسكندرية, الاسكندرية, مصر",اخري
"سيدبك - سيدى كرير للبتروكيماويات, 20 شارع مصطفى كامل, الاسكندرية, الاسكندرية, مصر",اخري
"شارع مساكن شدس, الاسكندرية, الاسكندرية, مصر",اخري
"صحاري, شارع الهادي, العمرانية, الجيزة, مصر",اخري
"صواري, شارع الرازي, العبدلي, عمان, الأردن",اخري
"صواريخ, شارع الترسانة, الاسكندرية, الاسكندرية, مصر",اخري
